id,title,description,image_link,video_link,duration,category,language,status_flag,new_comment,schedule,created_at,updated_at,deleted_at,keyword_old,keyword,extra_keyword_count,youtube_id,description_1,admin_id
1,youtube,test video,storie_image1639135795.png,https://www.youtube.com/watch?v=yd1JhZzoS6A,,"[""short""]","[""english""]",1,0,,2021-11-30 03:51:38,2021-12-19 08:58:16,2021-12-19 08:58:16,"",,0,,,
2,testing,scscs,storie_image/KDphMWjrk84rJ5OskRIt6EpXF6ARE0S7LZCwSRgK.jpg,cscsc,22,"[""category1"",""Fantacy""]","[""\u0ba4\u0bae\u0bbf\u0bb4\u0bcd""]",1,0,,2021-11-30 05:13:05,2021-12-27 09:20:59,2021-12-27 09:20:59,"",,0,,,
3,dfdv,fd,storie_image1639135808.jpg,dfdfd,,"[""category1""]","[""english""]",1,0,,2021-11-30 05:19:49,2021-12-27 06:55:23,2021-12-27 06:55:23,"",,0,,,
4,ggdd,sgsd,storie_image1639135819.png,k,,"[""category1""]","[""english""]",1,0,,2021-11-30 05:21:04,2021-12-27 07:04:49,2021-12-27 07:04:49,"",,0,,,
5,dsadasda,sdddasds,storie_image1639135860.png,cscsc,,"[""category1""]","[""english""]",1,0,,2021-11-30 05:22:29,2021-12-27 06:56:30,2021-12-27 06:56:30,"",,0,,,
6,Micky Stories,Mickey Mouse was conceived in,storie_image/g36t2zXKgWAq7zVhby3sc5rfU97pByYuvFo2p2BM.jpg,4265315,30,"[""Super Heros"",""Lala Special Stories""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",0,0,,2021-12-21 08:56:29,2022-01-20 07:32:15,2022-01-20 07:32:15,"",,0,,,
7,African Folktales,Mickey Mouse was conceived in secret while Disne,storie_image/AyYshm9IP0de4fQ2qH8yObRKmQF5iiN4zWU2nVXG.jpg,https://youtu.be/dvVvm6nGxTI,30,"[""category1""]","[""english""]",1,0,,2021-12-21 08:59:13,2021-12-27 09:20:26,2021-12-27 09:20:26,"",,0,,,
8,Wonderland,wonderland is good,storie_image/xOLV6whKIfpSiryGVInhfOLlPkvCdIkfiv7UkXON.jpg,https://youtu.be/dvVvm6nGxTI,30,"[""Fantacy""]","[""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2021-12-27 06:34:40,2021-12-27 06:55:58,2021-12-27 06:55:58,"",,0,,,
9,Dora stories,Mickey Mouse was conceived in secret while Disne,storie_image/vt39wLhgxVKBSlXcuDmunUQyKCw8Pted5Rg0Uwrh.jpg,https://youtu.be/dvVvm6nGxTI,30,"[""category1""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2021-12-27 07:02:08,2021-12-27 09:01:07,2021-12-27 09:01:07,"",,0,,,
10,Spider Man,"The fictional character Spider-Man, a comic book superhero created by Stan Lee and Steve Ditko and featured in Marvel Comics publications, has appeared as a main character in multiple theatrical and made-for-television films.",storie_image/wdyqc7cWNmUG9ojhMDKaLFX71x8gY94TpFpHqh5p.jpg,29351930,6:30,"[""Super Heros""]",5,1,0,,2021-12-27 08:59:31,2022-01-20 07:32:19,2022-01-20 07:32:19,"",,0,,,
