id,name,thum_pic,status_flag,language,create_at,update_at,deleted_at
1,category1,categoryimage/HvaoCfBjGEzjGB7ZapxCVLXajcHIzqoT6k7xhOTK.jpg,0,,,,2022-01-04 09:31:33
2,short,categoryimage1639136883.png,1,,,,2021-12-19 12:37:30
3,Fantasy,categoryimage/RUoYsd3qropXLBcsZ7tXsp9yUwdEYA8mB7rnXtAd.png,0,,,,2022-05-21 08:54:59
4,Super Heros,categoryimage/WKH8nUGAVzI6GdOucrqs82H4QGpC0jspBlqv4dDH.jpg,1,,,,2022-05-21 08:55:04
5,Cartoon,categoryimage/qfI49rMBOxxmkA5jQCTcJ8UAk3clYag7t8rsz97z.png,1,,,,2022-05-21 11:14:38
6,wonderland,categoryimage/TyE6JoiDGszLgq3hrahylIGFC0z1CWHz2aolsls7.jpg,1,,,,2021-12-30 08:49:57
7,Ghost Stories,categoryimage/hTFFA68fZGui1dEne3Cy8tMsxaiMUZl3byuJygoc.jpg,1,,,,2022-05-21 09:28:45
8,Lala Special Stories,categoryimage/5MzgNtlxulYlD9nrA2NsGdigOr0IiZU48IfCxfj1.jpg,1,,,,2022-05-21 09:28:41
9,Dora Buji,categoryimage/giMg58GW1FVXHTzKLMXXKaIvTRnxFjefbnrrdlub.jpg,1,,,,2022-05-21 09:28:37
10,Chhota Bheem,categoryimage/fkrOosUfJCxoq7HJ3QHfeJnXOoxvXQaKgpUlAnPt.jpg,1,,,,2022-05-21 09:28:34
11,Aquaman,categoryimage/VhVYfhWg6fdDXOmtutOFj53npzQGonD66D75px6p.webp,1,,,,2022-05-21 09:28:30
12,Minnal Stories,categoryimage/WhktZuui1L3wTm801ytuhw3fyBlpzeDGSQKLFRkM.webp,1,,,,2022-05-21 09:28:26
13,Sci-fi,categoryimage/PdChE5HtdXGIjyuu5pmSXshHRuLYQV7yA4nDFRW8.jpg,1,,,,2022-05-21 09:28:21
14,Malayalam,categoryimage/krx58yv9j22bFQkIA9FVlAw7jfgEv9PQw3ftjbFm.jpg,1,5,,,2022-07-02 06:19:40
15,Marathi,categoryimage/VgvagUQo7g4FHPOGCwBdUxpLmj2FfXA83lQVVHqD.jpg,1,15,,,2022-06-13 10:10:48
16,English,categoryimage/Da5BQMNbOrNdGtUBazu9e3T6fSwdgUTUvzCouV71.jpg,1,1,,,2022-07-02 06:19:45
17,Kannada,categoryimage/hvFvvTQhlj9cBzjDJpNNgVh0tRKryaT2543I7olO.jpg,1,14,,,2022-06-13 10:10:41
18,Telugu,categoryimage/ZeWGx5eRC61URlAPZPuJDeHQ4qi2RP8oi3aSDwAy.jpg,1,13,,,2022-06-13 10:10:39
19,Hindi,categoryimage/xrUN3XcYnGRqizf7ODPRQ9zfSEkPYlILnxAzzxC9.jpg,1,7,,,2022-06-13 10:10:37
20,Tamil,categoryimage/dlC7G8jBnbNjQy8NYMCWuUdTkrWIGW1Wt9d8smuk.jpg,1,6,,,2022-06-13 10:10:35
21,superhero,categoryimage/szN6rnkL3TjK2xerA5Tz5TnJQng27i2HUdLbGnyk.jpg,1,1,,,2022-06-13 10:10:31
22,englisg 2,categoryimage/BMvd3szep5sAskuDeNyn5t82nWC852Y5v6U5S2Mq.jpg,1,1,,,2022-07-02 05:07:57
23,car,categoryimage/3o3HzeWHtQuhzCOV1c5amGJvC7cusd5puA9MIeGs.jpg,1,1,,,2022-07-06 07:24:40
24,fan,categoryimage/0dCVm63akqWYwnyLpnY164o3j8gnWx9SBQwYNpl0.jpg,1,5,,,2022-07-06 07:24:37
25,Fairytales,categoryimage/MKe9EGPY5Hmh8EX5i7Mb9Nxqlf4PNgQiS0vcndqO.jpg,1,5,,,2022-07-07 10:54:43
26,Grandma Stories,categoryimage/z2XL5L0HoVHs0Uswgob4SAI8q5bjoranMRRFsMSl.jpg,1,5,,,2022-07-07 10:54:39
27,Animals,categoryimage/HBsVgYLW4MXAxJhi0Rj9ghbAw3zF4lVmDygLdZaV.jpg,1,5,,,2022-07-07 10:54:35
28,Folktales,categoryimage/qJ2wW7zbPanjsUhra4cvq4UCDPlpzxTc4YspnYWy.jpg,1,5,,,2022-07-07 10:53:43
29,fable,categoryimage/FARa56b7GLp11M4XyTJXs4hiHZsxV6cDrhf5xqOC.jpg,1,5,,,2022-07-07 10:53:39
30,Diamond ff,categoryimage/tQSyeHc8BLzwIkZAPGcfQ3IjpSLr4zoeJBrvMGkg.jpg,1,1,,,2022-07-06 08:51:40
31,Diamond 2,categoryimage/j483cLyahwfNcSaepisUgsfptqNvUgYYZSXP3VHH.jpg,1,1,,,2022-07-06 08:51:37
32,Fables - ML,categoryimage/eNomv7TClXEHWp1a4AeFd3tz52amoKlAiP1pUW3N.jpg,1,5,,,
33,Fairy Tales - ML,categoryimage/sIFoKI3NOPh8Cok5HpBLYAuBb6wbEylY74mNXOt6.jpg,1,5,,,
34,Folk Tales - ML,categoryimage/KfKV1g9DQ0IJBeChmv2GsPm0FiW91zvBQk8pS6Zy.jpg,1,5,,,
35,Animal Stories - ML,categoryimage/Qg73F0rH4jeFnJ2eJAXzNHRBomlDKodnPYtlRZlc.jpg,1,5,,,
36,Grandma Stories - ML,categoryimage/K3d3HhxshDWl3DOwJCEiCv8m8664qxuE95chq7wG.jpg,1,5,,,
37,Panchatantra - ML,categoryimage/av6wUp0jWvskKLeDsGhuYA66oXAIfJLjeHNYJrOJ.jpg,1,5,,,
38,Folk Tales - EN,categoryimage/sx9pTk6NqrRAaeAsqHorypU43Dtpaa4DEqNNdZJ2.jpg,1,1,,,
39,Fiction - EN,categoryimage/GAtkLeftKWKZGw0TzlBKvv1eZaQJQjk8ryVK6slc.jpg,1,1,,,
