id,story_id,comment,user_id,comment_id,at_user_id,created_at,updated_at,image
248,142,😵‍💫,413,,,2022-07-14 14:20:29,2022-07-14 14:20:29,
249,143,thanks,433,,,2022-07-14 16:18:40,2022-07-14 16:18:40,
261,144,Tq❤️lala,426,,,2022-07-15 15:01:44,2022-07-15 15:01:44,
262,144,Thanks♥️,442,,,2022-07-15 16:26:18,2022-07-15 16:26:18,
263,144,thank you ❤️,476,,,2022-07-15 16:33:49,2022-07-15 16:33:49,
264,123,വളരെ നന്നായിട്ടുണ്ട് ഗുഡ് effort.ente കുഞ്ഞിന് 2 വയസ്യുള്ളൂ lala പറയുന്നത് കേട്ട് കണ്ണടച്ചു കിടന്ന് കഥ കേട്ട് ഉറങ്ങും വളരെ ഉപകാരപ്രദം 🥰🥰🥰,485,,,2022-07-15 16:52:31,2022-07-15 16:52:31,
265,142,അതെ വളരെ സന്തോഷം ആദ്യമൊക്കെ visuals illathathu kondu valare മടി ആയിരുന്നു എന്നാൽ ഇപ്പോൾ ലാലയുടെ കഥ കൾ കേട്ടാണ് ഉറങ്ങുന്നത് visuals ഇല്ലാത്തതു കൊണ്ടുതന്നെ കുഞ്ഞുങ്ങളുടെ ഭാവന ശേഷിയെ വർധിപ്പിക്കാൻ വളരെ ഉപകാരപ്രദമാണ് thankss alot,491,,,2022-07-15 17:00:25,2022-07-15 17:00:25,
266,135,❤️,492,,,2022-07-15 17:14:03,2022-07-15 17:14:03,
267,144,Thank you Lala🥰,496,,,2022-07-15 18:14:32,2022-07-15 18:14:32,
268,141,nice story,385,,,2022-07-15 18:29:09,2022-07-15 18:29:09,
269,124,എത്ര നന്ദി പറഞ്ഞാലും മതിയാവില്ല visuals ഇല്ലാതെ ഒരുക്കിയ ഈ അത്‍ഭുതംതിന് 👏👏👏👏👍🏻👍🏻,491,,,2022-07-16 07:25:31,2022-07-16 07:25:31,
270,136,I like  your story,500,,,2022-07-16 09:05:46,2022-07-16 09:05:46,
271,143,thanks,504,,,2022-07-16 10:13:15,2022-07-16 10:13:15,
274,144,Welcome Gautham ❤️❤️,0,262,442,2022-07-16 11:21:45,2022-07-16 11:21:45,
275,144,Welcome Dear ❤️❤️,0,261,426,2022-07-16 11:23:12,2022-07-16 11:23:12,
277,144,Wecome little one ❤️,0,263,476,2022-07-16 11:24:41,2022-07-16 11:24:41,
278,144,Welcome dear ❤️☺️,0,267,496,2022-07-16 11:25:12,2022-07-16 11:25:12,
279,143,Welcome Abram ☺️❤️,0,249,433,2022-07-16 11:26:59,2022-07-16 11:26:59,
280,143,Welcome dear ☺️❤️,0,271,504,2022-07-16 11:27:20,2022-07-16 11:27:20,
282,141,Thank you Nitti ☺️❤️,0,268,385,2022-07-16 11:30:55,2022-07-16 11:30:55,
283,136,Thank you Dear ❤️❤️,0,270,500,2022-07-16 11:31:53,2022-07-16 11:31:53,
284,135,❤️❤️,0,266,492,2022-07-16 11:32:31,2022-07-16 11:32:31,
285,124,Thank you for your support and comment. It really means a lot ❤️❤️,0,269,491,2022-07-16 11:35:37,2022-07-16 11:35:37,
286,123,Thank you for your support❤️☺️☺️,0,264,485,2022-07-16 11:37:03,2022-07-16 11:37:03,
287,144,thnq lala,428,,,2022-07-16 16:55:48,2022-07-16 16:55:48,
288,144,thank u lala,424,,,2022-07-16 17:33:18,2022-07-16 17:33:18,
289,144,Thank you Lala,500,,,2022-07-16 17:52:15,2022-07-16 17:52:15,
290,123,lala❤️❤️❤️❤️,492,,,2022-07-16 18:08:32,2022-07-16 18:08:32,
291,144,Welcome lil one ❤️❤️,0,287,428,2022-07-17 04:08:20,2022-07-17 04:08:20,
292,144,Welcome Dear☺️☺️❤️,0,288,424,2022-07-17 04:09:05,2022-07-17 04:09:05,
294,123,Nitha kutty ❤️❤️❤️❤️,0,290,492,2022-07-17 04:11:20,2022-07-17 04:11:20,
295,131,🥰🥰👏👏🥳,491,,,2022-07-17 08:28:04,2022-07-17 08:28:04,
296,144,Welcome dear ❤️❤️,0,289,500,2022-07-17 12:32:16,2022-07-17 12:32:16,
297,144,thanku lala love u,527,,,2022-07-17 15:57:32,2022-07-17 15:57:32,
298,144,Welcome and love you too Adhidev ❤️❤️❤️,0,297,527,2022-07-17 15:59:53,2022-07-17 15:59:53,
299,131,Thank you butterfly❤️❤️,0,295,491,2022-07-17 16:02:10,2022-07-17 16:02:10,
300,132,Thanku laalaaaaa😍😘,527,,,2022-07-17 16:13:39,2022-07-17 16:13:39,
302,145,thanks,433,,,2022-07-17 16:27:13,2022-07-17 16:27:13,
303,144,thanks ❤️❤️❤️,492,,,2022-07-17 17:32:33,2022-07-17 17:32:33,
304,145,Most welcome Abram 😊❤️❤️,0,301,433,2022-07-17 18:39:39,2022-07-17 18:39:39,
305,144,Welcome Nitha kutty❤️❤️,0,303,492,2022-07-17 18:40:35,2022-07-17 18:40:35,
306,132,Most welcome Adhidev 😊❤️❤️,0,300,527,2022-07-17 18:41:35,2022-07-17 18:41:35,
307,145,nice story,385,,,2022-07-18 09:07:07,2022-07-18 09:07:07,
