id,kid_id,video_id,created_at,updated_at
1,3157,185,2022-11-07 07:18:51,2022-11-07 07:18:51
3,382,124,2022-11-07 07:58:44,2022-11-07 07:58:44
4,406,121,2022-11-07 08:23:09,2022-11-07 08:23:09
7,3404,188,2022-11-07 10:05:16,2022-11-07 10:05:16
8,3404,215,2022-11-07 10:06:31,2022-11-07 10:06:31
9,385,227,2022-11-07 10:12:55,2022-11-07 10:12:55
10,406,142,2022-11-07 10:44:13,2022-11-07 10:44:13
15,1962,215,2022-11-07 13:26:33,2022-11-07 13:26:33
17,1326,214,2022-11-07 14:33:11,2022-11-07 14:33:11
18,1208,236,2022-11-07 15:02:20,2022-11-07 15:02:20
21,1326,215,2022-11-07 15:37:10,2022-11-07 15:37:10
22,1148,193,2022-11-07 15:43:11,2022-11-07 15:43:11
23,426,215,2022-11-07 15:50:12,2022-11-07 15:50:12
25,528,216,2022-11-07 15:52:22,2022-11-07 15:52:22
26,426,204,2022-11-07 15:54:43,2022-11-07 15:54:43
27,426,189,2022-11-07 15:57:39,2022-11-07 15:57:39
28,426,184,2022-11-07 16:04:17,2022-11-07 16:04:17
30,1114,215,2022-11-07 16:07:56,2022-11-07 16:07:56
31,1114,173,2022-11-07 16:09:33,2022-11-07 16:09:33
34,1114,129,2022-11-07 16:11:17,2022-11-07 16:11:17
35,443,193,2022-11-07 16:17:13,2022-11-07 16:17:13
36,382,215,2022-11-07 16:29:18,2022-11-07 16:29:18
38,828,204,2022-11-07 16:49:16,2022-11-07 16:49:16
40,949,215,2022-11-07 16:50:00,2022-11-07 16:50:00
44,487,215,2022-11-07 17:11:17,2022-11-07 17:11:17
47,487,163,2022-11-07 17:13:30,2022-11-07 17:13:30
48,382,236,2022-11-07 17:14:33,2022-11-07 17:14:33
51,783,186,2022-11-07 17:31:47,2022-11-07 17:31:47
53,783,134,2022-11-07 17:36:36,2022-11-07 17:36:36
58,513,236,2022-11-07 19:34:00,2022-11-07 19:34:00
59,513,233,2022-11-07 19:51:09,2022-11-07 19:51:09
62,623,121,2022-11-07 19:56:51,2022-11-07 19:56:51
67,623,233,2022-11-07 20:10:43,2022-11-07 20:10:43
68,623,185,2022-11-07 20:11:11,2022-11-07 20:11:11
69,623,184,2022-11-07 20:21:21,2022-11-07 20:21:21
79,770,121,2022-11-08 15:43:13,2022-11-08 15:43:13
81,1178,232,2022-11-08 15:45:23,2022-11-08 15:45:23
82,1178,219,2022-11-08 15:53:54,2022-11-08 15:53:54
83,426,129,2022-11-08 15:57:40,2022-11-08 15:57:40
84,828,211,2022-11-08 15:59:20,2022-11-08 15:59:20
85,426,180,2022-11-08 15:59:46,2022-11-08 15:59:46
86,1357,236,2022-11-08 16:02:01,2022-11-08 16:02:01
87,426,193,2022-11-08 16:06:29,2022-11-08 16:06:29
92,426,211,2022-11-08 16:11:55,2022-11-08 16:11:55
